,LastName,FirstName,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CurrentEmploymentType,CurrentEmploymentTitle,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,FullName,Age,YearsSinceCurrentEmploymentStart,YearsSincePassportIssueDate,YearsToPassportExpirationDate,YearsSinceMilitaryDischargeDate,KModesClusters
0,Bramar,Mat,Tethys,Male,Tethys,BirthNation,Administration,Assistant to CEO,Mat.Bramar@gastech.com.kronos,,,Mat Bramar,32,8,6,3,,0
1,Ribera,Anda,Tethys,Female,Tethys,BirthNation,Administration,Assistant to CFO,Anda.Ribera@gastech.com.kronos,,,Anda Ribera,38,4,4,5,,0
2,Pantanal,Rachel,Tethys,Female,Tethys,BirthNation,Administration,Assistant to CIO,Rachel.Pantanal@gastech.com.kronos,,,Rachel Pantanal,29,0,0,9,,0
3,Lagos,Linda,Tethys,Female,Tethys,BirthNation,Administration,Assistant to COO,Linda.Lagos@gastech.com.kronos,,,Linda Lagos,33,3,4,5,,0
4,Mies Haber,Ruscella,Kronos,Female,Kronos,BirthNation,Administration,Assistant to Engineering Group Manager,Ruscella.Mies.Haber@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,Ruscella Mies Haber,49,10,,,29,1
5,Forluniau,Carla,Kronos,Female,Kronos,BirthNation,Administration,Assistant to IT Group Manager,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,Carla Forluniau,32,8,,,12,1
6,Lais,Cornelia,Kronos,Female,Kronos,BirthNation,Administration,Assistant to Security Group Manager,Cornelia.Lais@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,Cornelia Lais,22,2,,,2,1
7,Onda,Marin,Tethys,Male,Tethys,BirthNation,Engineering,Drill Site Manager,Marin.Onda@gastech.com.kronos,,,Marin Onda,44,10,8,1,,0
8,Borrasca,Isande,Tethys,Female,Tethys,BirthNation,Engineering,Drill Technician,Isande.Borrasca@gastech.com.kronos,,,Isande Borrasca,34,9,5,4,,0
9,Calzas,Axel,Tethys,Male,Tethys,BirthNation,Engineering,Drill Technician,Axel.Calzas@gastech.com.kronos,,,Axel Calzas,38,16,1,8,,0
10,Orilla,Kare,Tethys,Female,Tethys,BirthNation,Engineering,Drill Technician,Kare.Orilla@gastech.com.kronos,,,Kare Orilla,49,8,0,9,,0
11,Orilla,Elsa,Tethys,Female,Tethys,BirthNation,Engineering,Drill Technician,Elsa.Orilla@gastech.com.kronos,,,Elsa Orilla,31,9,3,6,,0
12,Tempestad,Brand,Tethys,Male,Tethys,BirthNation,Engineering,Drill Technician,Brand.Tempestad@gastech.com.kronos,,,Brand Tempestad,34,9,1,8,,0
13,Azada,Lars,Tethys,Male,Tethys,BirthNation,Engineering,Engineer,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,Lars Azada,40,18,2,7,18,0
14,Balas,Felix,Tethys,Male,Tethys,BirthNation,Engineering,Engineer,Felix.Balas@gastech.com.kronos,TethanDefenseForceNavy,HonorableDischarge,Felix Balas,53,9,8,1,25,0
15,Dedos,Lidelse,Tethys,Female,Tethys,BirthNation,Engineering,Engineering Group Manager,Lidelse.Dedos@gastech.com.kronos,,,Lidelse Dedos,61,10,5,4,,0
16,Frente,Birgitta,Tethys,Female,Tethys,BirthNation,Engineering,Geologist,Birgitta.Frente@gastech.com.kronos,,,Birgitta Frente,37,14,7,2,,0
17,Nubarron,Adra,Tethys,Female,Tethys,BirthNation,Engineering,Geologist,Adra.Nubarron@gastech.com.kronos,,,Adra Nubarron,45,19,6,3,,0
18,Cazar,Gustav,Tethys,Male,Tethys,BirthNation,Engineering,Hydraulic Technician,Gustav.Cazar@gastech.com.kronos,,,Gustav Cazar,27,4,4,5,,0
19,Frente,Vira,Tethys,Female,Tethys,BirthNation,Engineering,Hydraulic Technician,Vira.Frente@gastech.com.kronos,,,Vira Frente,36,12,3,6,,0
20,Vasco-Pais,Willem,Tethys,Male,Tethys,BirthNation,Executive,Environmental Safety Advisor,Willem.Vasco-Pais@gastech.com.kronos,,,Willem Vasco-Pais,38,3,2,7,,0
21,Sanjorge Jr.,Sten,Tethys,Male,Tethys,BirthNation,Executive,President/CEO,Sten.Sanjorge Jr.@gastech.com.kronos,,,Sten Sanjorge Jr.,65,23,0,9,,0
22,Barranco,Ingrid,Tethys,Female,Tethys,BirthNation,Executive,SVP/CFO,Ingrid.Barranco@gastech.com.kronos,,,Ingrid Barranco,52,10,0,9,,0
23,Campo-Corrente,Ada,Tethys,Female,Tethys,BirthNation,Executive,SVP/CIO,Ada.Campo-Corrente@gastech.com.kronos,,,Ada Campo-Corrente,62,9,0,9,,0
24,Strum,Orhan,Asteria,Male,Tethys,ParentCitizenship,Executive,SVP/COO,Orhan.Strum@gastech.com.kronos,,,Orhan Strum,50,10,2,7,,0
